Label,PreMoveLocation,PostMoveLocation,MoveYear,HousePurchaseYear,EffectivePurchaseYear,ChildcareMode,SchoolMode,FinalLiquidUSD,FinalNetWorthUSD,MinLiquidUSD,MinNetWorthUSD,EverNegativeLiquid
"China, Jingzhou | no-move | rent-forever | daycare | public","China, Jingzhou","China, Jingzhou",,,,daycare,public,27063300.250104867,27063300.250104867,565646.64,565646.64,False
"Vietnam -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Vietnam,"China, Jingzhou",2031.0,,,daycare,public,27017712.801828533,27017712.801828533,563434.68,563434.68,False
"Japan -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Japan,"China, Jingzhou",2031.0,,,daycare,public,26961070.475199163,26961070.475199163,561204.96,561204.96,False
"China, Jingzhou -> Vietnam | move-2031 | rent-forever | daycare | public","China, Jingzhou",Vietnam,2031.0,,,daycare,public,26885999.935754474,26885999.935754474,565646.64,565646.64,False
"China, Jingzhou | no-move | buy-2034 | daycare | public","China, Jingzhou","China, Jingzhou",,2034.0,2034.0,daycare,public,26440811.60156288,26883891.35382785,565646.64,565646.64,False
Vietnam | no-move | rent-forever | daycare | public,Vietnam,Vietnam,,,,daycare,public,26840412.487478137,26840412.487478137,563434.68,563434.68,False
"Vietnam -> China, Jingzhou | move-2031 | buy-2034 | daycare | public",Vietnam,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,public,26395224.153286546,26838303.905551516,563434.68,563434.68,False
"Spain -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Spain,"China, Jingzhou",2031.0,,,daycare,public,26831789.900620595,26831789.900620595,555067.32,555067.32,False
"China, Jingzhou -> Vietnam | move-2031 | buy-2034 | daycare | public","China, Jingzhou",Vietnam,2031.0,2034.0,2034.0,daycare,public,26325328.030188017,26812468.580339737,565646.64,565646.64,False
"Southern France -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Southern France,"China, Jingzhou",2031.0,,,daycare,public,26807708.971582368,26807708.971582368,554511.36,554511.36,False
Japan -> Vietnam | move-2031 | rent-forever | daycare | public,Japan,Vietnam,2031.0,,,daycare,public,26783770.16084877,26783770.16084877,561204.96,561204.96,False
"Japan -> China, Jingzhou | move-2031 | buy-2034 | daycare | public",Japan,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,public,26338581.826657187,26781661.578922156,561204.96,561204.96,False
Vietnam | no-move | buy-2034 | daycare | public,Vietnam,Vietnam,,2034.0,2034.0,daycare,public,26279740.58191168,26766881.1320634,563434.68,563434.68,False
Japan -> Vietnam | move-2031 | buy-2034 | daycare | public,Japan,Vietnam,2031.0,2034.0,2034.0,daycare,public,26223098.25528232,26710238.80543404,561204.96,561204.96,False
"Midwest (Kansas City) -> China, Jingzhou | move-2031 | rent-forever | daycare | public",Midwest (Kansas City),"China, Jingzhou",2031.0,,,daycare,public,26697810.332066435,26697810.332066435,549984.0,549984.0,False
Spain -> Vietnam | move-2031 | rent-forever | daycare | public,Spain,Vietnam,2031.0,,,daycare,public,26654489.586270202,26654489.586270202,555067.32,555067.32,False
"Spain -> China, Jingzhou | move-2031 | buy-2034 | daycare | public",Spain,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,public,26209301.252078623,26652381.00434359,555067.32,555067.32,False
